"Line1","Specialists"
"GPID_00049",2.398981
"GPID_00019",2.182141
"GPID_00004",2.102876
"GPID_00036",2.433896
"GPID_00012",1.695027
"GPID_00046",1.856806
"GPID_00011",2.155599
"GPID_00060",1.67185
"GPID_00025",2.371516
"GPID_00073",1.659659
"GPID_00006",1.464911
"GPID_00063",2.138872
"GPID_00028",1.854791
"GPID_00037",1.955485
"GPID_00065",2.506347
"GPID_00070",1.869386
"GPID_00047",1.583474
"GPID_00013",1.804276
"GPID_00045",2.533981
"GPID_00010",2.133045
"GPID_00009",2.360689
"GPID_00042",2.29262
"GPID_00040",1.707945
"GPID_00039",1.755645
"GPID_00097",2.313858
"GPID_00080",2.545165
"GPID_00095",1.683092
"GPID_00096",1.411071
"GPID_00106",1.599452
"GPID_00103",2.253104
"GPID_00094",2.011476
"GPID_00109",2.243242
"GPID_00081",2.064052
"GPID_00107",2.426021
"GPID_00102",2.005331
"GPID_00108",2.343903
"GPID_00093",1.866068
"GPID_00092",2.279564
"GPID_00091",2.084566
"GPID_00090",1.733389
"GPID_00110",1.90654
"GPID_00084",2.043697
"GPID_00105",2.263501
"GPID_00017",1.970731
"GPID_00018",2.178506
"GPID_00022",1.817466
"GPID_00002",1.926779
"GPID_00003",2.180304
"GPID_00005",1.731354
"GPID_00008",1.528929
"GPID_00015",2.182479
"GPID_00016",2.406813
"GPID_00023",1.379744
"GPID_00024",2.413139
"GPID_00026",2.188845
"GPID_00032",1.900989
"GPID_00061",1.880564
"GPID_00072",1.875682
"GPID_00053",1.477776
"GPID_00148",2.333142
"GPID_00151",1.548023
"GPID_00154",1.852187
"GPID_00158",1.944248
"GPID_00159",1.547719
"GPID_00162",2.443546
"GPID_00164",1.841432
"GPID_00167",1.885662
"GPID_00169",2.345483
"GPID_00172",2.33254
"GPID_00174",1.401178
"GPID_00175",2.056077
"GPID_00176",2.400006
"GPID_00178",1.995476
"GPID_00179",1.915592
"GPID_00180",1.284699
"GPID_00183",2.610259
"GPID_00185",1.85759
"GPID_00188",1.485809
"GPID_00189",1.995654
"GPID_00191",1.480459
"GPID_00193",2.086123
"GPID_00196",2.190751
"GPID_00198",2.245135
"GPID_00199",2.15587
"GPID_00147",2.196741
"GPID_00155",2.521899
"GPID_00157",1.734231
"GPID_00134",2.008704
"GPID_00115",2.730882
"GPID_00221",2.198279
"GPID_00213",2.387317
"GPID_00211",2.199849
"GPID_00208",2.302097
"GPID_00204",1.730104
"GPID_00216",2.095773
"GPID_00215",2.366671
"GPID_00220",2.121327
"GPID_00223",2.353818
"GPID_00209",2.298586
"GPID_00205",2.095919
"GPID_00218",1.607008
"GPID_00212",2.06314
"GPID_00124",1.990102
"GPID_00114",1.953211
"GPID_00119",1.683568
"GPID_00117",2.199735
"GPID_00116",2.188309
"GPID_00112",2.372354
"GPID_00135",1.746154
"GPID_00120",2.171561
"GPID_00123",1.839197
"GPID_00130",2.474948
"GPID_00132",2.123219
"GPID_00125",2.270625
"GPID_00126",2.113418
"GPID_00127",1.934747
"GPID_00128",1.898037
"GPID_00100",1.690913
"GPID_00085",2.510249
"GPID_00021",1.663146
"GPID_00001",2.468844
"GPID_00014",2.475427
"GPID_00029",2.293298
"GPID_00062",1.9192
"GPID_00064",2.358188
"GPID_00076",2.149601
"GPID_00082",1.535704
"GPID_00086",2.26863
"GPID_00069",2.243688
"GPID_00020",1.691415
"GPID_00068",2.010529
"GPID_00030",1.78207
"GPID_00077",2.247103
"GPID_00232",2.211239
"GPID_00235",1.885673
"GPID_00228",1.831734
"GPID_00225",1.848762
"GPID_00181",1.742399
"GPID_00141",2.193473
"GPID_00201",2.293101
"GPID_00165",2.071593
"GPID_00139",2.331592
"GPID_00059",2.175389
"GPID_00182",2.562536
"GPID_00142",1.661783
"GPID_00168",1.856434
"GPID_00138",2.1158
"GPID_00051",2.520599
"GPID_00236",1.752815
"GPID_00192",2.228376
"GPID_00237",2.319298
"GPID_00052",2.324919
"GPID_00173",1.982298
"GPID_00194",2.027976
"GPID_00230",2.329031
"GPID_00150",1.921319
"GPID_00224",2.098366
"GPID_00131",1.74215
"GPID_00031",1.558519
"GPID_00184",1.777578
"GPID_00187",2.210536
"GPID_00202",1.877425
"GPID_00203",2.57853
"GPID_00143",1.508259
"GPID_00156",2.181017
"GPID_00160",1.782824
"GPID_00161",2.072701
"GPID_00177",1.983924
"GPID_00238",1.818158
"GPID_00239",2.226346
"GPID_00240",1.871007
"GPID_00241",2.86217
