"Taxa","Generalists"
"GPID_00049",2689.666667
"GPID_00019",3309.333333
"GPID_00004",5000.333333
"GPID_00036",2010.5
"GPID_00012",903.333333
"GPID_00046",8002
"GPID_00011",5024.666667
"GPID_00060",10160
"GPID_00073",457.333333
"GPID_00063",7381
"GPID_00028",1187
"GPID_00037",6108.666667
"GPID_00074",9445.333333
"GPID_00070",7897
"GPID_00047",588.333333
"GPID_00013",8074.333333
"GPID_00010",1548.666667
"GPID_00009",4861
"GPID_00007",4196
"GPID_00042",1686
"GPID_00098",10287
"GPID_00095",2956
"GPID_00096",6580.333333
"GPID_00103",5286.333333
"GPID_00094",6273.5
"GPID_00109",8584.333333
"GPID_00081",9222.333333
"GPID_00107",20547.333333
"GPID_00102",2920.333333
"GPID_00108",4179
"GPID_00093",3351.666667
"GPID_00092",2743.5
"GPID_00091",5102.666667
"GPID_00090",13365.333333
"GPID_00111",7417.666667
"GPID_00089",3835.666667
"GPID_00110",3001.333333
"GPID_00088",17809
"GPID_00087",2014.333333
"GPID_00084",8574.333333
"GPID_00105",995
"GPID_00104",9995
"GPID_00099",15298
"GPID_00017",3521.333333
"GPID_00022",11723.666667
"GPID_00002",6212.333333
"GPID_00003",2972.5
"GPID_00005",1458.333333
"GPID_00008",7617.25
"GPID_00015",1135.333333
"GPID_00016",873.333333
"GPID_00023",660.5
"GPID_00024",16400
"GPID_00026",3746.333333
"GPID_00032",2278.75
"GPID_00061",5107.666667
"GPID_00072",1706
"GPID_00053",10307.5
"GPID_00148",7367.666667
"GPID_00151",2122.333333
"GPID_00154",5872.666667
"GPID_00159",3424.333333
"GPID_00162",2546
"GPID_00163",4692
"GPID_00164",6900
"GPID_00166",10230.666667
"GPID_00167",7613
"GPID_00169",4099.666667
"GPID_00171",3608
"GPID_00174",1207.333333
"GPID_00176",3448
"GPID_00178",39179.333333
"GPID_00179",3793
"GPID_00180",4265
"GPID_00183",527
"GPID_00189",71.5
"GPID_00190",4920.333333
"GPID_00193",3980.333333
"GPID_00195",7635
"GPID_00196",15455.666667
"GPID_00197",41816
"GPID_00198",26229.666667
"GPID_00199",1516.666667
"GPID_00200",4184.666667
"GPID_00147",3094.666667
"GPID_00155",4041.333333
"GPID_00134",7160.666667
"GPID_00115",265
"GPID_00221",4123.666667
"GPID_00213",2222.5
"GPID_00211",5266.333333
"GPID_00208",9984
"GPID_00204",1890.666667
"GPID_00220",2559.666667
"GPID_00209",898.5
"GPID_00222",38870
"GPID_00214",1732.666667
"GPID_00212",6259
"GPID_00122",4007
"GPID_00121",5865.666667
"GPID_00124",8381.333333
"GPID_00114",2527.333333
"GPID_00133",6789.666667
"GPID_00119",23811.333333
"GPID_00117",6822
"GPID_00118",5299
"GPID_00116",3322.666667
"GPID_00112",6330.333333
"GPID_00135",9645
"GPID_00120",861.666667
"GPID_00123",2094.666667
"GPID_00113",12898
"GPID_00130",5091.333333
"GPID_00136",3598.333333
"GPID_00132",6483.333333
"GPID_00125",3432
"GPID_00127",9949.666667
"GPID_00128",1247
"GPID_00129",2789
"GPID_00100",2756
"GPID_00085",2648
"GPID_00001",10275
"GPID_00014",2097.333333
"GPID_00029",6077.666667
"GPID_00064",1826.5
"GPID_00076",731
"GPID_00082",9467
"GPID_00086",3319.333333
"GPID_00069",12561.333333
"GPID_00068",1972.666667
"GPID_00030",14517
"GPID_00077",126
"GPID_00232",1632.333333
"GPID_00235",9909.333333
"GPID_00225",250.333333
"GPID_00141",22328.333333
"GPID_00201",2083.333333
"GPID_00165",1194
"GPID_00139",2010.333333
"GPID_00059",3680
"GPID_00182",5017.333333
"GPID_00142",5397
"GPID_00051",1614.333333
"GPID_00058",13566
"GPID_00236",5726.666667
"GPID_00146",2666
"GPID_00192",1662
"GPID_00237",1142.333333
"GPID_00052",7412
"GPID_00231",10751
"GPID_00173",1246.333333
"GPID_00194",6694.666667
"GPID_00230",5870
"GPID_00150",13943
"GPID_00234",2940.333333
"GPID_00224",3931
"GPID_00207",1263.333333
"GPID_00031",5245.5
"GPID_00184",3944
"GPID_00186",8861.666667
"GPID_00187",6394.666667
"GPID_00202",2963
"GPID_00203",5908.666667
"GPID_00143",1371.666667
"GPID_00152",7620.333333
"GPID_00160",1111
"GPID_00161",16689.666667
"GPID_00170",6423.333333
"GPID_00177",572.333333
"GPID_00238",10365.666667
"GPID_00240",13421
"GPID_00241",15557.5
